"session_id","time_start","completion_code","respID","browser","ip_address","time_end","consent_age","consent_understand","cbc_practice","cbc_q1","cbc_q2","cbc_q3","cbc_q4","cbc_q5","cbc_q6","year_of_birth","gender","race","education","income","feedback","time_q_consent_age","time_q_consent_understand","time_q_cbc_practice","time_q_cbc_q1","time_q_cbc_q2","time_q_cbc_q3","time_q_cbc_q4","time_q_cbc_q5","time_q_cbc_q6","time_q_year_of_birth","time_q_gender","time_q_race","time_q_education","time_q_income","time_q_feedback","time_p_welcome","time_p_cbc_practice_page","time_p_cbc_intro","time_p_cbc_q1_page","time_p_cbc_q2_page","time_p_cbc_q3_page","time_p_cbc_q4_page","time_p_cbc_q5_page","time_p_cbc_q6_page","time_p_demographics","time_p_end_normal","time_p_end_consent","current_page","cbc_practice_comment","cbc_q1_comment","cbc_q2_comment","cbc_q3_comment","cbc_q4_comment","cbc_q5_comment","cbc_q6_comment","time_q_cbc_practice_comment","time_q_cbc_q1_comment","time_q_cbc_q2_comment","time_q_cbc_q3_comment","time_q_cbc_q4_comment","time_q_cbc_q5_comment","time_q_cbc_q6_comment"
"fae35a237054b8f03539581126a09e23","2026-05-18 22:36:25 UTC",9517229103,954,"Electron v39, Linux","127.0.0.1","","yes","yes","option_2",,,,,,,,,,,,,"2026-05-18 22:36:29 UTC","2026-05-18 22:36:30 UTC","2026-05-18 22:36:34 UTC","","","","","",,,,,,,,"2026-05-18 22:36:25 UTC","2026-05-18 22:36:31 UTC","2026-05-18 22:36:36 UTC","2026-05-18 22:36:38 UTC","","","","","","","",,"cbc_q1_page","",,,,,,,"",,,,,,
"aa1639dacdaaf1910f9adb8fd2675b5d","2026-05-18 22:48:39 UTC",1239941761,792,"Electron v39, Linux","127.0.0.1","","","","option_1",,,,,,,,,,,,,"","","2026-05-18 22:48:45 UTC","","","","","",,,,,,,,"2026-05-18 22:48:39 UTC","2026-05-18 22:48:43 UTC","2026-05-18 22:48:47 UTC","2026-05-18 22:48:49 UTC","2026-05-18 22:48:58 UTC","2026-05-18 22:49:02 UTC","2026-05-18 22:49:03 UTC","2026-05-18 22:49:04 UTC","2026-05-18 22:49:05 UTC","2026-05-18 22:49:10 UTC","",,"demographics","",,,,,,,"",,,,,,
"08d9fb6252e466f69b7f288a7f25df28","2026-05-18 22:55:56 UTC",8727466185,945,"Electron v39, Linux","127.0.0.1","","","","",,,,,,,,,,,,,"","","","","","","","",,,,,,,,"2026-05-18 22:55:56 UTC","2026-05-18 22:55:59 UTC","","","","","","","","","",,"cbc_practice_page","",,,,,,,"",,,,,,
"d949e1811fc0ff24c56b8ba85518c75b","2026-05-18 23:01:30 UTC",3684038481,1875,"Electron v39, Linux","127.0.0.1","2026-05-18 23:25:44 UTC","","","50",,,,,,,,,,,,,"","","2026-05-18 23:02:21 UTC","","","","","",,,,,,,,"2026-05-18 23:01:30 UTC","2026-05-18 23:01:33 UTC","","","","","","","","","",,"cbc_practice_page","",,,,,,,"",,,,,,
"3191fe651d813d0542f54820bdf03c92","2026-05-19 01:15:15 UTC",7282590511,28,"Electron v39, Linux","127.0.0.1","","","","",,,,,,,,,,,,,"","","","","","","","",,,,,,,,"2026-05-19 01:15:15 UTC","2026-05-19 01:37:43 UTC","","","","","","","","","",,"cbc_practice_page","",,,,,,,"",,,,,,
"fcb747a9fc4d5ddfc7ae5173137acd0f","2026-05-19 01:43:01 UTC",7624790350,1548,"Electron v39, Linux","127.0.0.1","","","","",,,,,,,,,,,,,"","","","","","","","",,,,,,,,"2026-05-19 01:43:01 UTC","2026-05-19 01:43:05 UTC","","","","","","","","","",,"cbc_practice_page","",,,,,,,"",,,,,,
"bf17fde6349b60536c27fa21e8441ff1","2026-05-19 01:46:41 UTC",5574403443,363,"Electron v39, Linux","127.0.0.1","2026-05-19 01:46:59 UTC","","","64",,,,,,,,,,,,,"","","2026-05-19 01:46:55 UTC","","","","","",,,,,,,,"2026-05-19 01:46:41 UTC","2026-05-19 01:46:45 UTC","","","","","","","","","",,"cbc_practice_page","",,,,,,,"",,,,,,
"ef17c908f5c3eab91cdeb6d843f92633","2026-05-19 01:47:28 UTC",2436274510,671,"Electron v39, Linux","127.0.0.1","2026-05-19 01:49:35 UTC","","","50",50,,,,,,,,,,,,"","","","","","","","",,,,,,,,"2026-05-19 01:47:28 UTC","2026-05-19 01:47:32 UTC","2026-05-19 01:47:41 UTC","2026-05-19 01:47:43 UTC","","","","","","","",,"cbc_q1_page","",,,,,,,"",,,,,,
"683b5c510d5663609332cbb19b267fb8","2026-05-19 01:50:05 UTC",8170581437,1447,"Electron v39, Linux","127.0.0.1","","","","",,,,,,,,,,,,,"","","","","","","","",,,,,,,,"2026-05-19 01:50:05 UTC","2026-05-19 01:50:26 UTC","","","","","","","","","",,"cbc_practice_page","",,,,,,,"",,,,,,
"c041a337875db58c116fe3ab6b3ec19b","2026-05-19 01:52:54 UTC",8815234930,1704,"Chrome v144, Linux","127.0.0.1","2026-05-27 02:08:36 UTC","","","50",50,,,,,,,,,,,,"","","2026-05-26 22:26:49 UTC","2026-05-26 22:29:56 UTC","","","","",,,,,,,,"2026-05-19 01:52:54 UTC","2026-05-19 01:52:58 UTC","2026-05-26 22:27:41 UTC","2026-05-26 22:27:44 UTC","","","","","","","",,"cbc_q1_page","",,,,,,,"",,,,,,
